Year,Attribute,Sea-level-change
1979,Lower-error-bound,5.098425192
1979,Upper-error-bound,5.625984246
1980,Adjusted-sea-level,5.598425191
1980,Lower-error-bound,5.34251968
1980,Upper-error-bound,5.854330703
1981,Adjusted-sea-level,6.086614167
1981,Lower-error-bound,5.830708655
1981,Upper-error-bound,6.342519679
1982,Adjusted-sea-level,5.858267711
1982,Lower-error-bound,5.610236215
1982,Upper-error-bound,6.106299206
1983,Adjusted-sea-level,6.188976372
1983,Lower-error-bound,5.93307086
1983,Upper-error-bound,6.444881883
1984,Adjusted-sea-level,6.153543301
1984,Lower-error-bound,5.905511805
1984,Upper-error-bound,6.401574797
1985,Adjusted-sea-level,5.74803149
1985,Lower-error-bound,5.499999994
1985,Upper-error-bound,5.996062986
1986,Adjusted-sea-level,5.771653537
1986,Lower-error-bound,5.523622042
1986,Upper-error-bound,6.019685033
1987,Adjusted-sea-level,5.795275585
1987,Lower-error-bound,5.551181097
1987,Upper-error-bound,6.039370073
1988,Adjusted-sea-level,5.980314955
1988,Lower-error-bound,5.732283459
1988,Upper-error-bound,6.22834645
1989,Adjusted-sea-level,6.157480309
1989,Lower-error-bound,5.905511805
1989,Upper-error-bound,6.409448812
1990,Adjusted-sea-level,6.24803149
1990,Lower-error-bound,5.992125978
1990,Upper-error-bound,6.503937001
1991,Adjusted-sea-level,6.346456686
1991,Lower-error-bound,6.090551175
1991,Upper-error-bound,6.602362198
1992,Adjusted-sea-level,6.374015742
1992,Lower-error-bound,6.114173222
1992,Upper-error-bound,6.633858261
1993,Adjusted-sea-level,6.3031496
1993,Lower-error-bound,6.04330708
1993,Upper-error-bound,6.562992119
1993,Satellite-sea-level,6.30880342
1994,Adjusted-sea-level,6.507874009
1994,Lower-error-bound,6.24803149
1994,Upper-error-bound,6.767716529
1994,Satellite-sea-level,6.48547118
1995,Adjusted-sea-level,6.622047237
1995,Lower-error-bound,6.362204718
1995,Upper-error-bound,6.881889757
1995,Satellite-sea-level,6.706433013
1996,Adjusted-sea-level,6.78346456
1996,Lower-error-bound,6.523622041
1996,Upper-error-bound,7.043307079
1996,Satellite-sea-level,6.845351976
1997,Adjusted-sea-level,7.059055111
1997,Lower-error-bound,6.799212591
1997,Upper-error-bound,7.31889763
1997,Satellite-sea-level,6.998605475
1998,Adjusted-sea-level,6.669291332
1998,Lower-error-bound,6.401574797
1998,Upper-error-bound,6.937007867
1998,Satellite-sea-level,6.962409609
1999,Adjusted-sea-level,7.003937001
1999,Lower-error-bound,6.736220466
1999,Upper-error-bound,7.271653536
1999,Satellite-sea-level,6.933057028
2000,Adjusted-sea-level,7.055118103
2000,Lower-error-bound,6.787401568
2000,Upper-error-bound,7.322834638
2000,Satellite-sea-level,7.093511971
2001,Adjusted-sea-level,7.271653536
2001,Lower-error-bound,7.007874009
2001,Upper-error-bound,7.535433063
2001,Satellite-sea-level,7.302274547
2002,Adjusted-sea-level,7.366141725
2002,Lower-error-bound,7.09842519
2002,Upper-error-bound,7.63385826
2002,Satellite-sea-level,7.374785483
2003,Adjusted-sea-level,7.728346449
2003,Lower-error-bound,7.456692906
2003,Upper-error-bound,7.999999992
2003,Satellite-sea-level,7.501475389
2004,Adjusted-sea-level,7.712598417
2004,Lower-error-bound,7.440944874
2004,Upper-error-bound,7.98425196
2004,Satellite-sea-level,7.573147251
2005,Adjusted-sea-level,7.716535425
2005,Lower-error-bound,7.44881889
2005,Upper-error-bound,7.98425196
2005,Satellite-sea-level,7.716292209
2006,Adjusted-sea-level,7.885826764
2006,Lower-error-bound,7.618110228
2006,Upper-error-bound,8.153543299
2006,Satellite-sea-level,7.803953243
2007,Adjusted-sea-level,7.960629913
2007,Lower-error-bound,7.681102354
2007,Upper-error-bound,8.240157472
2007,Satellite-sea-level,7.803600553
2008,Adjusted-sea-level,8.303149598
2008,Lower-error-bound,8.035433063
2008,Upper-error-bound,8.570866133
2008,Satellite-sea-level,7.960706032
2009,Adjusted-sea-level,8.531496054
2009,Lower-error-bound,8.259842511
2009,Upper-error-bound,8.803149597
2009,Satellite-sea-level,8.104027101
2010,Adjusted-sea-level,8.83464566
2010,Lower-error-bound,8.555118102
2010,Upper-error-bound,9.114173219
2010,Satellite-sea-level,8.164371862
2011,Adjusted-sea-level,8.897637786
2011,Lower-error-bound,8.602362196
2011,Upper-error-bound,9.192913376
2011,Satellite-sea-level,8.096820931
2012,Adjusted-sea-level,9.244094479
2012,Lower-error-bound,8.917322826
2012,Upper-error-bound,9.570866132
2012,Satellite-sea-level,8.492761282
2013,Adjusted-sea-level,8.913385818
2013,Lower-error-bound,8.562992117
2013,Upper-error-bound,9.263779518
2013,Satellite-sea-level,8.58619679
2014,Satellite-sea-level,8.717314463
2015,Satellite-sea-level,9.061105473
2016,Satellite-sea-level,9.193601372
2017,Satellite-sea-level,9.242845802
2018,Satellite-sea-level,9.340091693
2019,Satellite-sea-level,9.594329444
2020,Satellite-sea-level,9.699874064
2021,Satellite-sea-level,9.886687548
2022,Satellite-sea-level,9.974710764
2023,Satellite-sea-level,10.20390442
